doc_id,item,category,amount,price,discount
1LSYgu98bv,fish,seafood,2,499,0.0
1LSYgu98bv,pork,meat,4,449,44.900000000000006
1LSYgu98bv,cereals,cereals,2,59,0.0
zafqr4ydhM,sugar,groceries,3,69,6.9
zafqr4ydhM,cereals,cereals,4,59,0.0
zafqr4ydhM,tomato,vegetables,1,149,22.349999999999998
zafqr4ydhM,potato,vegetables,1,29,2.9000000000000004
zafqr4ydhM,chicken,meat,1,399,19.950000000000003
zafqr4ydhM,onion,vegetables,1,29,1.4500000000000002
zafqr4ydhM,eggs,dairy,1,109,5.45
zafqr4ydhM,fish,seafood,1,499,24.950000000000003
zafqr4ydhM,bread,bakery,5,49,7.35
zafqr4ydhM,skyrim,gaming,4,1499,0.0
wEVhr8kWcG,chicken,meat,3,399,39.900000000000006
wEVhr8kWcG,tea,beverages,2,89,0.0
wEVhr8kWcG,skyrim,gaming,1,1499,0.0
wEVhr8kWcG,onion,vegetables,1,29,0.0
wEVhr8kWcG,sugar,groceries,1,69,13.8
wEVhr8kWcG,pasta,groceries,4,69,0.0
wEVhr8kWcG,pork,meat,3,449,0.0
wEVhr8kWcG,fish,seafood,3,499,24.950000000000003
wEVhr8kWcG,butter,dairy,4,129,12.9
wEVhr8kWcG,oil,groceries,1,119,0.0
wEVhr8kWcG,potato,vegetables,2,29,1.4500000000000002
wEVhr8kWcG,cereals,cereals,1,59,0.0
wEVhr8kWcG,eggs,dairy,3,109,10.9
BMbL6OECS8,pasta,groceries,2,69,0.0
BMbL6OECS8,bread,bakery,4,49,7.35
BMbL6OECS8,potato,vegetables,1,29,0.0
BMbL6OECS8,cereals,cereals,3,59,8.85
BMbL6OECS8,chicken,meat,3,399,0.0
BMbL6OECS8,milk,dairy,5,69,6.9
BMbL6OECS8,oil,groceries,4,119,17.849999999999998
BMbL6OECS8,fish,seafood,3,499,0.0
BMbL6OECS8,butter,dairy,1,129,6.45
BMbL6OECS8,eggs,dairy,4,109,0.0
BMbL6OECS8,tomato,vegetables,3,149,14.9
